shipment_id,order_id,status,shipped_at,delivered_at
S0,01,shipped,2024-01-02,2024-01-03
S1,02,shipped,2024-01-03,2024-01-04
S2,03,delivered,2024-01-04,2024-01-05
S3,04,shipped,2024-01-05,2024-01-06
S4,05,delivered,2024-01-06,2024-01-07
S5,06,delivered,2024-01-07,2024-01-08
S6,07,shipped,2024-01-08,2024-01-09
S7,08,delivered,2024-01-09,2024-01-10
S8,09,delivered,2024-01-10,2024-01-11
S9,010,shipped,2024-01-11,2024-01-12
S10,011,shipped,2024-01-12,2024-01-13
S11,012,delivered,2024-01-13,2024-01-14
S12,013,shipped,2024-01-14,2024-01-15
S13,014,delivered,2024-01-15,2024-01-16
S14,015,delivered,2024-01-16,2024-01-17
S15,016,delivered,2024-01-17,2024-01-18
S16,017,delivered,2024-01-18,2024-01-19
S17,018,shipped,2024-01-19,2024-01-20
S18,019,delivered,2024-01-20,2024-01-21
S19,020,delivered,2024-01-21,2024-01-22
